Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Label
7430.14,9529.78,-2453.33,19,123,621,0
11256.4,50455.1,-4220,18,216,2677,0
13093,51897.1,-2880,30,234,2464,0
14303,102632,-5702.2,144,281,4061,1
14688,83343.4,-2430,52,223,2822,1
10353.4,39242.8,-4306.41,40,193,2118,0
8194.91,4793.26,-2616.67,27,131,271,1
5565.11,7583.56,-1976.6,75,104,457,0
22295.6,517263,-11513.9,139,540,18067,0
22907.9,254317,-12000,81,540,8870,0
23333.9,284119,-15700,70,540,8870,0
2413.1,52.1699,-494,6,33,5,0
11235.2,42997.7,-3930,61,223,2059,0
7836.78,5545,-2661,41,126,371,1
19736.1,411425,-11200,66,473,14125,0
21364,344743,-12874,74,518,11581,1
9387.9,27005.7,-2330,27,166,1414,1
9492.35,30558.3,-3357.82,128,171,1747,1
22837.7,411480,-7270,59,473,14125,0
12673.3,116186,-4130,41,235,4905,0
13166.5,80354.3,-5640,60,272,3539,0
19646,267704,-5990,77,357,8465,1
14042.9,67004.4,-3760,69,224,2192,0
4728.36,3847.46,-1730,21,79,317,0
10628.3,24690.4,-1110,48,166,1111,0
14728.9,66310.8,-3170,52,224,2192,0
20124.2,146034,-8460,101,449,5537,0
12398.5,79107.7,-5560,49,272,3539,0
11007.2,39602.9,-3884.41,28,193,2118,0
13452.1,51788.9,-2960,36,234,2464,0
7726.41,9365.98,-518,26,102,516,0
19176.5,299930,-10794,87,407,10820,1
7889.76,9801.01,-2414.95,28,123,621,0
10057.2,35097.8,-4453.96,128,208,1691,0
5838.06,11116.3,-1957.64,17,102,764,0
9442.56,28657.4,-3100,36,156,1364,0
7333.51,14960.1,-2780.99,76,134,970,0
8217.59,13245,-3086,25,158,811,1
17812.2,112293,-5880,38,322,4619,0
8060.38,12859.4,-2687.98,15,132,806,0
9200.26,35157,-2650,26,136,1626,1
9121.3,9964,-4400,37,157,552,1
10814.1,17137,-2182,66,149,731,1
11321.9,59299,-5718,107,216,3123,1
7130.15,13129,-3967,34,134,805,1
9820.94,10516.1,-1730,34,154,587,0
9448.28,38130.8,-3808.5,41,180,2054,1
14132.1,49640.3,-3120,48,234,2464,0
12173.5,113351,-4130,44,235,4905,0
15338.4,94060.8,-4030,61,254,3885,0
6257.37,7424.71,-1627.17,39,93,545,0
11124.5,86386,-2460,25,220,3450,0
11974.3,74502.9,-3970,27,249,3630,0
13062.6,60759.6,-4619.26,137,237,2672,1
3817.8,2128.21,-1094.06,23,54,165,0
10473.3,37594.8,-3230,41,196,1997,0
11009.6,19301,-1965,111,157,977,1
3622.05,1446.96,-1027.19,42,52,133,0
